NTACode,Borough,Growth Factor,NTA Name,Population - 2010,Population - 2011,Population - 2012,Population - 2013,Population - 2014,Population - 2015,Population - 2016,Population - 2017,Population - 2018,Population - 2019,Population - 2020
BX01,Bronx,0.045,Claremont-Bathgate,28149,29416.0,30739.0,32123.0,33568.0,35079.0,36657.0,38307.0,40031.0,41832.0,43715.0
BX03,Bronx,0.045,Eastchester-Edenwald-Baychester,35422,37016.0,38682.0,40422.0,42241.0,44142.0,46129.0,48204.0,50374.0,52640.0,55009.0
BX05,Bronx,0.045,Bedford Park-Fordham North,55329,57819.0,60421.0,63140.0,65981.0,68950.0,72053.0,75295.0,78683.0,82224.0,85924.0
BX06,Bronx,0.045,Belmont,25967,27136.0,28357.0,29633.0,30966.0,32360.0,33816.0,35337.0,36928.0,38589.0,40326.0
BX07,Bronx,0.045,Bronxdale,34309,35853.0,37466.0,39152.0,40914.0,42755.0,44679.0,46690.0,48791.0,50986.0,53281.0
BX08,Bronx,0.045,West Farms-Bronx River,34542,36096.0,37721.0,39418.0,41192.0,43046.0,44983.0,47007.0,49122.0,51333.0,53643.0
BX09,Bronx,0.045,Soundview-Castle Hill-Clason Point-Harding Park,50753,53037.0,55424.0,57918.0,60524.0,63247.0,66094.0,69068.0,72176.0,75424.0,78818.0
BX10,Bronx,0.045,Pelham Bay-Country Club-City Island,27140,28361.0,29638.0,30971.0,32365.0,33821.0,35343.0,36934.0,38596.0,40333.0,42148.0
BX13,Bronx,0.045,Co-Op City,40676,42506.0,44419.0,46418.0,48507.0,50690.0,52971.0,55354.0,57845.0,60448.0,63169.0
BX14,Bronx,0.045,East Concourse-Concourse Village,58961,61614.0,64387.0,67284.0,70312.0,73476.0,76783.0,80238.0,83848.0,87622.0,91565.0
BX17,Bronx,0.045,East Tremont,39280,41048.0,42895.0,44825.0,46842.0,48950.0,51153.0,53455.0,55860.0,58374.0,61001.0
BX22,Bronx,0.045,North Riverdale-Fieldston-Riverdale,28013,29274.0,30591.0,31967.0,33406.0,34909.0,36480.0,38122.0,39837.0,41630.0,43503.0
